,sents,tokens,token_count
0,[Moby Dick by Herman Melville 1851],"['[', 'Moby', 'Dick', 'by', 'Herman', 'Melville', '1851', ']']",8
1,,[],0
2,,[],0
3,ETYMOLOGY.,"['ETYMOLOGY', '.']",2
4,,[],0
5,(Supplied by a Late Consumptive Usher to a Grammar School),"['(', 'Supplied', 'by', 'a', 'Late', 'Consumptive', 'Usher', 'to', 'a', 'Grammar', 'School', ')']",12
6,,[],0
7,"The pale Usher--threadbare in coat, heart, body, and brain; I see him","['The', 'pale', 'Usher', '--', 'threadbare', 'in', 'coat', ',', 'heart', ',', 'body', ',', 'and', 'brain', ';', 'I', 'see', 'him']",18
8,"now.  He was ever dusting his old lexicons and grammars, with a queer","['now', '.', 'He', 'was', 'ever', 'dusting', 'his', 'old', 'lexicons', 'and', 'grammars', ',', 'with', 'a', 'queer']",15
9,"handkerchief, mockingly embellished with all the gay flags of all the","['handkerchief', ',', 'mockingly', 'embellished', 'with', 'all', 'the', 'gay', 'flags', 'of', 'all', 'the']",12
10,known nations of the world.  He loved to dust his old grammars; it,"['known', 'nations', 'of', 'the', 'world', '.', 'He', 'loved', 'to', 'dust', 'his', 'old', 'grammars', ';', 'it']",15
11,somehow mildly reminded him of his mortality.,"['somehow', 'mildly', 'reminded', 'him', 'of', 'his', 'mortality', '.']",8
12,,[],0
13,"""While you take in hand to school others, and to teach them by what","['``', 'While', 'you', 'take', 'in', 'hand', 'to', 'school', 'others', ',', 'and', 'to', 'teach', 'them', 'by', 'what']",16
14,"name a whale-fish is to be called in our tongue leaving out, through","['name', 'a', 'whale-fish', 'is', 'to', 'be', 'called', 'in', 'our', 'tongue', 'leaving', 'out', ',', 'through']",14
15,"ignorance, the letter H, which almost alone maketh the signification","['ignorance', ',', 'the', 'letter', 'H', ',', 'which', 'almost', 'alone', 'maketh', 'the', 'signification']",12
16,"of the word, you deliver that which is not true."" --HACKLUYT","['of', 'the', 'word', ',', 'you', 'deliver', 'that', 'which', 'is', 'not', 'true', '.', ""''"", '--', 'HACKLUYT']",15
17,,[],0
18,"""WHALE. ... Sw. and Dan. HVAL.  This animal is named from roundness","['``', 'WHALE', '.', '...', 'Sw.', 'and', 'Dan', '.', 'HVAL', '.', 'This', 'animal', 'is', 'named', 'from', 'roundness']",16
19,"or rolling; for in Dan. HVALT is arched or vaulted."" --WEBSTER'S","['or', 'rolling', ';', 'for', 'in', 'Dan', '.', 'HVALT', 'is', 'arched', 'or', 'vaulted', '.', ""''"", '--', 'WEBSTER', ""'S""]",17
20,DICTIONARY,['DICTIONARY'],1
21,,[],0
22,"""WHALE. ... It is more immediately from the Dut. and Ger. WALLEN;","['``', 'WHALE', '.', '...', 'It', 'is', 'more', 'immediately', 'from', 'the', 'Dut', '.', 'and', 'Ger', '.', 'WALLEN', ';']",17
23,"A.S. WALW-IAN, to roll, to wallow."" --RICHARDSON'S DICTIONARY","['A.S.', 'WALW-IAN', ',', 'to', 'roll', ',', 'to', 'wallow', '.', ""''"", '--', 'RICHARDSON', ""'S"", 'DICTIONARY']",14
24,,[],0
25,"KETOS,               GREEK.","['KETOS', ',', 'GREEK', '.']",4
26,"CETUS,               LATIN.","['CETUS', ',', 'LATIN', '.']",4
27,"WHOEL,               ANGLO-SAXON.","['WHOEL', ',', 'ANGLO-SAXON', '.']",4
28,"HVALT,               DANISH.","['HVALT', ',', 'DANISH', '.']",4
29,"WAL,                 DUTCH.","['WAL', ',', 'DUTCH', '.']",4
30,"HWAL,                SWEDISH.","['HWAL', ',', 'SWEDISH', '.']",4
31,"WHALE,               ICELANDIC.","['WHALE', ',', 'ICELANDIC', '.']",4
32,"WHALE,               ENGLISH.","['WHALE', ',', 'ENGLISH', '.']",4
33,"BALEINE,             FRENCH.","['BALEINE', ',', 'FRENCH', '.']",4
34,"BALLENA,             SPANISH.","['BALLENA', ',', 'SPANISH', '.']",4
35,"PEKEE-NUEE-NUEE,     FEGEE.","['PEKEE-NUEE-NUEE', ',', 'FEGEE', '.']",4
36,"PEKEE-NUEE-NUEE,     ERROMANGOAN.","['PEKEE-NUEE-NUEE', ',', 'ERROMANGOAN', '.']",4
37,,[],0
38,,[],0
39,,[],0
40,,[],0
41,EXTRACTS (Supplied by a Sub-Sub-Librarian).,"['EXTRACTS', '(', 'Supplied', 'by', 'a', 'Sub-Sub-Librarian', ')', '.']",8
42,,[],0
43,It will be seen that this mere painstaking burrower and grub-worm of,"['It', 'will', 'be', 'seen', 'that', 'this', 'mere', 'painstaking', 'burrower', 'and', 'grub-worm', 'of']",12
44,a poor devil of a Sub-Sub appears to have gone through the long,"['a', 'poor', 'devil', 'of', 'a', 'Sub-Sub', 'appears', 'to', 'have', 'gone', 'through', 'the', 'long']",13
45,"Vaticans and street-stalls of the earth, picking up whatever random","['Vaticans', 'and', 'street-stalls', 'of', 'the', 'earth', ',', 'picking', 'up', 'whatever', 'random']",11
46,"allusions to whales he could anyways find in any book whatsoever,","['allusions', 'to', 'whales', 'he', 'could', 'anyways', 'find', 'in', 'any', 'book', 'whatsoever', ',']",12
47,"sacred or profane.  Therefore you must not, in every case at least,","['sacred', 'or', 'profane', '.', 'Therefore', 'you', 'must', 'not', ',', 'in', 'every', 'case', 'at', 'least', ',']",15
48,"take the higgledy-piggledy whale statements, however authentic, in","['take', 'the', 'higgledy-piggledy', 'whale', 'statements', ',', 'however', 'authentic', ',', 'in']",10
49,"these extracts, for veritable gospel cetology.  Far from it.  As","['these', 'extracts', ',', 'for', 'veritable', 'gospel', 'cetology', '.', 'Far', 'from', 'it', '.', 'As']",13
50,"touching the ancient authors generally, as well as the poets here","['touching', 'the', 'ancient', 'authors', 'generally', ',', 'as', 'well', 'as', 'the', 'poets', 'here']",12
51,"appearing, these extracts are solely valuable or entertaining, as","['appearing', ',', 'these', 'extracts', 'are', 'solely', 'valuable', 'or', 'entertaining', ',', 'as']",11
52,affording a glancing bird's eye view of what has been promiscuously,"['affording', 'a', 'glancing', 'bird', ""'s"", 'eye', 'view', 'of', 'what', 'has', 'been', 'promiscuously']",12
53,"said, thought, fancied, and sung of Leviathan, by many nations and","['said', ',', 'thought', ',', 'fancied', ',', 'and', 'sung', 'of', 'Leviathan', ',', 'by', 'many', 'nations', 'and']",15
54,"generations, including our own.","['generations', ',', 'including', 'our', 'own', '.']",6
55,,[],0
56,"So fare thee well, poor devil of a Sub-Sub, whose commentator I am.","['So', 'fare', 'thee', 'well', ',', 'poor', 'devil', 'of', 'a', 'Sub-Sub', ',', 'whose', 'commentator', 'I', 'am', '.']",16
57,"Thou belongest to that hopeless, sallow tribe which no wine of this","['Thou', 'belongest', 'to', 'that', 'hopeless', ',', 'sallow', 'tribe', 'which', 'no', 'wine', 'of', 'this']",13
58,world will ever warm; and for whom even Pale Sherry would be too,"['world', 'will', 'ever', 'warm', ';', 'and', 'for', 'whom', 'even', 'Pale', 'Sherry', 'would', 'be', 'too']",14
59,"rosy-strong; but with whom one sometimes loves to sit, and feel","['rosy-strong', ';', 'but', 'with', 'whom', 'one', 'sometimes', 'loves', 'to', 'sit', ',', 'and', 'feel']",13
60,"poor-devilish, too; and grow convivial upon tears; and say to them","['poor-devilish', ',', 'too', ';', 'and', 'grow', 'convivial', 'upon', 'tears', ';', 'and', 'say', 'to', 'them']",14
61,"bluntly, with full eyes and empty glasses, and in not altogether","['bluntly', ',', 'with', 'full', 'eyes', 'and', 'empty', 'glasses', ',', 'and', 'in', 'not', 'altogether']",13
62,"unpleasant sadness--Give it up, Sub-Subs!  For by how much the more","['unpleasant', 'sadness', '--', 'Give', 'it', 'up', ',', 'Sub-Subs', '!', 'For', 'by', 'how', 'much', 'the', 'more']",15
63,"pains ye take to please the world, by so much the more shall ye for","['pains', 'ye', 'take', 'to', 'please', 'the', 'world', ',', 'by', 'so', 'much', 'the', 'more', 'shall', 'ye', 'for']",16
64,ever go thankless!  Would that I could clear out Hampton Court and,"['ever', 'go', 'thankless', '!', 'Would', 'that', 'I', 'could', 'clear', 'out', 'Hampton', 'Court', 'and']",13
65,the Tuileries for ye!  But gulp down your tears and hie aloft to the,"['the', 'Tuileries', 'for', 'ye', '!', 'But', 'gulp', 'down', 'your', 'tears', 'and', 'hie', 'aloft', 'to', 'the']",15
66,royal-mast with your hearts; for your friends who have gone before,"['royal-mast', 'with', 'your', 'hearts', ';', 'for', 'your', 'friends', 'who', 'have', 'gone', 'before']",12
67,"are clearing out the seven-storied heavens, and making refugees of","['are', 'clearing', 'out', 'the', 'seven-storied', 'heavens', ',', 'and', 'making', 'refugees', 'of']",11
68,"long-pampered Gabriel, Michael, and Raphael, against your coming.","['long-pampered', 'Gabriel', ',', 'Michael', ',', 'and', 'Raphael', ',', 'against', 'your', 'coming', '.']",12
