,sents,tokens,token_count
0,"[Moby Dick by Herman Melville 1851]


ETYMOLOGY.","['[', 'Moby', 'Dick', 'by', 'Herman', 'Melville', '1851', ']', 'ETYMOLOGY', '.']",10
1,"(Supplied by a Late Consumptive Usher to a Grammar School)

The pale Usher--threadbare in coat, heart, body, and brain; I see him
now.","['(', 'Supplied', 'by', 'a', 'Late', 'Consumptive', 'Usher', 'to', 'a', 'Grammar', 'School', ')', 'The', 'pale', 'Usher', '--', 'threadbare', 'in', 'coat', ',', 'heart', ',', 'body', ',', 'and', 'brain', ';', 'I', 'see', 'him', 'now', '.']",32
2,"He was ever dusting his old lexicons and grammars, with a queer
handkerchief, mockingly embellished with all the gay flags of all the
known nations of the world.","['He', 'was', 'ever', 'dusting', 'his', 'old', 'lexicons', 'and', 'grammars', ',', 'with', 'a', 'queer', 'handkerchief', ',', 'mockingly', 'embellished', 'with', 'all', 'the', 'gay', 'flags', 'of', 'all', 'the', 'known', 'nations', 'of', 'the', 'world', '.']",31
3,"He loved to dust his old grammars; it
somehow mildly reminded him of his mortality.","['He', 'loved', 'to', 'dust', 'his', 'old', 'grammars', ';', 'it', 'somehow', 'mildly', 'reminded', 'him', 'of', 'his', 'mortality', '.']",17
4,"""While you take in hand to school others, and to teach them by what
name a whale-fish is to be called in our tongue leaving out, through
ignorance, the letter H, which almost alone maketh the signification
of the word, you deliver that which is not true.""","['``', 'While', 'you', 'take', 'in', 'hand', 'to', 'school', 'others', ',', 'and', 'to', 'teach', 'them', 'by', 'what', 'name', 'a', 'whale-fish', 'is', 'to', 'be', 'called', 'in', 'our', 'tongue', 'leaving', 'out', ',', 'through', 'ignorance', ',', 'the', 'letter', 'H', ',', 'which', 'almost', 'alone', 'maketh', 'the', 'signification', 'of', 'the', 'word', ',', 'you', 'deliver', 'that', 'which', 'is', 'not', 'true', '.', ""''""]",55
5,"--HACKLUYT

""WHALE.","['--', 'HACKLUYT', ""''"", 'WHALE', '.']",5
6,... Sw. and Dan.,"['...', 'Sw.', 'and', 'Dan', '.']",5
7,HVAL.,"['HVAL', '.']",2
8,"This animal is named from roundness
or rolling; for in Dan.","['This', 'animal', 'is', 'named', 'from', 'roundness', 'or', 'rolling', ';', 'for', 'in', 'Dan', '.']",13
9,"HVALT is arched or vaulted.""","['HVALT', 'is', 'arched', 'or', 'vaulted', '.', ""''""]",7
10,"--WEBSTER'S
DICTIONARY

""WHALE.","['--', ""WEBSTER'S"", 'DICTIONARY', ""''"", 'WHALE', '.']",6
11,...,['...'],1
12,It is more immediately from the Dut.,"['It', 'is', 'more', 'immediately', 'from', 'the', 'Dut', '.']",8
13,and Ger.,"['and', 'Ger', '.']",3
14,"WALLEN;
A.S. WALW-IAN, to roll, to wallow.""","['WALLEN', ';', 'A.S.', 'WALW-IAN', ',', 'to', 'roll', ',', 'to', 'wallow', '.', ""''""]",12
15,"--RICHARDSON'S DICTIONARY

KETOS,               GREEK.","['--', 'RICHARDSON', ""'S"", 'DICTIONARY', 'KETOS', ',', 'GREEK', '.']",8
16,"CETUS,               LATIN.","['CETUS', ',', 'LATIN', '.']",4
17,"WHOEL,               ANGLO-SAXON.","['WHOEL', ',', 'ANGLO-SAXON', '.']",4
18,"HVALT,               DANISH.","['HVALT', ',', 'DANISH', '.']",4
19,"WAL,                 DUTCH.","['WAL', ',', 'DUTCH', '.']",4
20,"HWAL,                SWEDISH.","['HWAL', ',', 'SWEDISH', '.']",4
